year,oda_gni_ratio,indicator,name_short
2018,0.00257819251964754,Using latest official data,Austria
2019,0.0027581939360101166,Using latest official data,Austria
2020,0.0029641077936609457,Using latest official data,Austria
2021,0.003082662270345307,Using latest official data,Austria
2022,0.003939452307653852,Using latest official data,Austria
2023,0.003815292029408705,Using latest official data,Austria
2024,0.004270250310921747,Using latest official data,Austria
2025,0.004725208592434789,Using latest official data,Austria
2026,0.005180166873947832,Using latest official data,Austria
2027,0.005635125155460874,Using latest official data,Austria
2028,0.006090083436973916,Using latest official data,Austria
2029,0.006545041718486958,Using latest official data,Austria
2030,0.007,Using latest official data,Austria
2031,0.007,Using latest official data,Austria
2032,0.007,Using latest official data,Austria
2033,0.007,Using latest official data,Austria
2034,0.007,Using latest official data,Austria
2018,0.004302415719348464,Using latest official data,Belgium
2019,0.004091814001098894,Using latest official data,Belgium
2020,0.0047831055579952726,Using latest official data,Belgium
2021,0.004325008485864056,Using latest official data,Belgium
2022,0.004532850922180318,Using latest official data,Belgium
2023,0.004387375468932449,Using latest official data,Belgium
2024,0.004760607544799242,Using latest official data,Belgium
2025,0.005133839620666035,Using latest official data,Belgium
2026,0.0055070716965328285,Using latest official data,Belgium
2027,0.005880303772399622,Using latest official data,Belgium
2028,0.006253535848266415,Using latest official data,Belgium
2029,0.006626767924133207,Using latest official data,Belgium
2030,0.007,Using latest official data,Belgium
2031,0.007,Using latest official data,Belgium
2032,0.007,Using latest official data,Belgium
2033,0.007,Using latest official data,Belgium
2034,0.007,Using latest official data,Belgium
2018,0.007184806571350075,Using latest official data,Denmark
2019,0.0071687186839308375,Using latest official data,Denmark
2020,0.007196068397849326,Using latest official data,Denmark
2021,0.007107752036543724,Using latest official data,Denmark
2022,0.006702084945820434,Using latest official data,Denmark
2023,0.007419377688323991,Using latest official data,Denmark
2024,0.007419377688323991,Using latest official data,Denmark
2025,0.007419377688323991,Using latest official data,Denmark
2026,0.007419377688323991,Using latest official data,Denmark
2027,0.007419377688323991,Using latest official data,Denmark
2028,0.007419377688323991,Using latest official data,Denmark
2029,0.007419377688323991,Using latest official data,Denmark
2030,0.007419377688323991,Using latest official data,Denmark
2031,0.007419377688323991,Using latest official data,Denmark
2032,0.007419377688323991,Using latest official data,Denmark
2033,0.007419377688323991,Using latest official data,Denmark
2034,0.007419377688323991,Using latest official data,Denmark
2018,0.004274898167899276,Using latest official data,France
2019,0.004410622075757718,Using latest official data,France
2020,0.0052985988950282874,Using latest official data,France
2021,0.005096459783959896,Using latest official data,France
2022,0.005595549704605041,Using latest official data,France
2023,0.004987551280294829,Using latest official data,France
2024,0.005275043954538425,Using latest official data,France
2025,0.00556253662878202,Using latest official data,France
2026,0.005850029303025616,Using latest official data,France
2027,0.0061375219772692126,Using latest official data,France
2028,0.006425014651512809,Using latest official data,France
2029,0.006712507325756404,Using latest official data,France
2030,0.007,Using latest official data,France
2031,0.007,Using latest official data,France
2032,0.007,Using latest official data,France
2033,0.007,Using latest official data,France
2034,0.007,Using latest official data,France
2018,0.00611911817593526,Using latest official data,Germany
2019,0.006115100893124869,Using latest official data,Germany
2020,0.007341879910940078,Using latest official data,Germany
2021,0.007649948334944067,Using latest official data,Germany
2022,0.008470815801053862,Using latest official data,Germany
2023,0.007914738588092508,Using latest official data,Germany
2024,0.007914738588092508,Using latest official data,Germany
2025,0.007914738588092508,Using latest official data,Germany
2026,0.007914738588092508,Using latest official data,Germany
2027,0.007914738588092508,Using latest official data,Germany
2028,0.007914738588092508,Using latest official data,Germany
2029,0.007914738588092508,Using latest official data,Germany
2030,0.007914738588092508,Using latest official data,Germany
2031,0.007914738588092508,Using latest official data,Germany
2032,0.007914738588092508,Using latest official data,Germany
2033,0.007914738588092508,Using latest official data,Germany
2034,0.007914738588092508,Using latest official data,Germany
2018,0.00248624023201683,Using latest official data,Italy
2019,0.0021856411719061407,Using latest official data,Italy
2020,0.0022341054408075278,Using latest official data,Italy
2021,0.002863821688537953,Using latest official data,Italy
2022,0.003271788314570381,Using latest official data,Italy
2023,0.0026711270689631647,Using latest official data,Italy
2024,0.0032895374876827127,Using latest official data,Italy
2025,0.003907947906402261,Using latest official data,Italy
2026,0.004526358325121808,Using latest official data,Italy
2027,0.005144768743841356,Using latest official data,Italy
2028,0.005763179162560904,Using latest official data,Italy
2029,0.006381589581280452,Using latest official data,Italy
2030,0.007,Using latest official data,Italy
2031,0.007,Using latest official data,Italy
2032,0.007,Using latest official data,Italy
2033,0.007,Using latest official data,Italy
2034,0.007,Using latest official data,Italy
2018,0.0061929543963478995,Using latest official data,Netherlands
2019,0.005868161050282843,Using latest official data,Netherlands
2020,0.005923488627448761,Using latest official data,Netherlands
2021,0.005236586079905669,Using latest official data,Netherlands
2022,0.006680738019393032,Using latest official data,Netherlands
2023,0.006637818946826637,Using latest official data,Netherlands
2024,0.006689559097279975,Using latest official data,Netherlands
2025,0.006741299247733312,Using latest official data,Netherlands
2026,0.00679303939818665,Using latest official data,Netherlands
2027,0.006844779548639987,Using latest official data,Netherlands
2028,0.006896519699093325,Using latest official data,Netherlands
2029,0.006948259849546662,Using latest official data,Netherlands
2030,0.007,Using latest official data,Netherlands
2031,0.007,Using latest official data,Netherlands
2032,0.007,Using latest official data,Netherlands
2033,0.007,Using latest official data,Netherlands
2034,0.007,Using latest official data,Netherlands
2018,0.0017743048673473914,Using latest official data,Portugal
2019,0.0017190391405868045,Using latest official data,Portugal
2020,0.0018402588972768008,Using latest official data,Portugal
2021,0.0018316473655372123,Using latest official data,Portugal
2022,0.002107333010941281,Using latest official data,Portugal
2023,0.00186578339899026,Using latest official data,Portugal
2024,0.002599242913420223,Using latest official data,Portugal
2025,0.0033327024278501857,Using latest official data,Portugal
2026,0.004066161942280148,Using latest official data,Portugal
2027,0.004799621456710111,Using latest official data,Portugal
2028,0.005533080971140074,Using latest official data,Portugal
2029,0.0062665404855700374,Using latest official data,Portugal
2030,0.007,Using latest official data,Portugal
2031,0.007,Using latest official data,Portugal
2032,0.007,Using latest official data,Portugal
2033,0.007,Using latest official data,Portugal
2034,0.007,Using latest official data,Portugal
2018,0.010718662508451094,Using latest official data,Sweden
2019,0.009561975183363778,Using latest official data,Sweden
2020,0.011389104945214302,Using latest official data,Sweden
2021,0.009067619198836297,Using latest official data,Sweden
2022,0.008912181011604074,Using latest official data,Sweden
2023,0.009082824509663667,Using latest official data,Sweden
2024,0.009082824509663667,Using latest official data,Sweden
2025,0.009082824509663667,Using latest official data,Sweden
2026,0.009082824509663667,Using latest official data,Sweden
2027,0.009082824509663667,Using latest official data,Sweden
2028,0.009082824509663667,Using latest official data,Sweden
2029,0.009082824509663667,Using latest official data,Sweden
2030,0.009082824509663667,Using latest official data,Sweden
2031,0.009082824509663667,Using latest official data,Sweden
2032,0.009082824509663667,Using latest official data,Sweden
2033,0.009082824509663667,Using latest official data,Sweden
2034,0.009082824509663667,Using latest official data,Sweden
2018,0.003589620437401817,Using latest official data,Finland
2019,0.004168765298259328,Using latest official data,Finland
2020,0.0046764266344663,Using latest official data,Finland
2021,0.0047380057579186835,Using latest official data,Finland
2022,0.0057356257186306405,Using latest official data,Finland
2023,0.005240703587632452,Using latest official data,Finland
2024,0.005492031646542102,Using latest official data,Finland
2025,0.005743359705451751,Using latest official data,Finland
2026,0.005994687764361401,Using latest official data,Finland
2027,0.006246015823271051,Using latest official data,Finland
2028,0.006497343882180701,Using latest official data,Finland
2029,0.00674867194109035,Using latest official data,Finland
2030,0.007,Using latest official data,Finland
2031,0.007,Using latest official data,Finland
2032,0.007,Using latest official data,Finland
2033,0.007,Using latest official data,Finland
2034,0.007,Using latest official data,Finland
2018,0.0031434108657544015,Using latest official data,Ireland
2019,0.0031566450913941826,Using latest official data,Ireland
2020,0.0030549129407490268,Using latest official data,Ireland
2021,0.003018956250294736,Using latest official data,Ireland
2022,0.006303633637854349,Using latest official data,Ireland
2023,0.006685193588027367,Using latest official data,Ireland
2024,0.0067301659325948865,Using latest official data,Ireland
2025,0.006775138277162405,Using latest official data,Ireland
2026,0.006820110621729924,Using latest official data,Ireland
2027,0.006865082966297443,Using latest official data,Ireland
2028,0.006910055310864962,Using latest official data,Ireland
2029,0.006955027655432481,Using latest official data,Ireland
2030,0.007,Using latest official data,Ireland
2031,0.007,Using latest official data,Ireland
2032,0.007,Using latest official data,Ireland
2033,0.007,Using latest official data,Ireland
2034,0.007,Using latest official data,Ireland
2018,0.009838159614038873,Using latest official data,Luxembourg
2019,0.010340086830680174,Using latest official data,Luxembourg
2020,0.010304473336030528,Using latest official data,Luxembourg
2021,0.00987852076949056,Using latest official data,Luxembourg
2022,0.009956615885020732,Using latest official data,Luxembourg
2023,0.009857905051154588,Using latest official data,Luxembourg
2024,0.009857905051154588,Using latest official data,Luxembourg
2025,0.009857905051154588,Using latest official data,Luxembourg
2026,0.009857905051154588,Using latest official data,Luxembourg
2027,0.009857905051154588,Using latest official data,Luxembourg
2028,0.009857905051154588,Using latest official data,Luxembourg
2029,0.009857905051154588,Using latest official data,Luxembourg
2030,0.009857905051154588,Using latest official data,Luxembourg
2031,0.009857905051154588,Using latest official data,Luxembourg
2032,0.009857905051154588,Using latest official data,Luxembourg
2033,0.009857905051154588,Using latest official data,Luxembourg
2034,0.009857905051154588,Using latest official data,Luxembourg
2018,0.0011967511557025912,Using latest official data,Cyprus
2019,0.0009424923897397172,Using latest official data,Cyprus
2020,0.0005735277681416347,Using latest official data,Cyprus
2021,0.0007378345691912033,Using latest official data,Cyprus
2022,0.0005243976885192478,Using latest official data,Cyprus
2023,0.0006589447344959036,Using latest official data,Cyprus
2024,0.0010362383438536316,Using latest official data,Cyprus
2025,0.0014135319532113597,Using latest official data,Cyprus
2026,0.001790825562569088,Using latest official data,Cyprus
2027,0.002168119171926816,Using latest official data,Cyprus
2028,0.002545412781284544,Using latest official data,Cyprus
2029,0.002922706390642272,Using latest official data,Cyprus
2030,0.0033,Using latest official data,Cyprus
2031,0.0033,Using latest official data,Cyprus
2032,0.0033,Using latest official data,Cyprus
2033,0.0033,Using latest official data,Cyprus
2034,0.0033,Using latest official data,Cyprus
2018,0.001332274816129883,Using latest official data,Greece
2019,0.0017515538050284463,Using latest official data,Greece
2020,0.0017313976824353912,Using latest official data,Greece
2021,0.0015721514665657096,Using latest official data,Greece
2022,0.0016527248386009469,Using latest official data,Greece
2023,0.0013585433021426445,Using latest official data,Greece
2024,0.0021644656875508383,Using latest official data,Greece
2025,0.002970388072959032,Using latest official data,Greece
2026,0.0037763104583672254,Using latest official data,Greece
2027,0.00458223284377542,Using latest official data,Greece
2028,0.005388155229183613,Using latest official data,Greece
2029,0.006194077614591806,Using latest official data,Greece
2030,0.007,Using latest official data,Greece
2031,0.007,Using latest official data,Greece
2032,0.007,Using latest official data,Greece
2033,0.007,Using latest official data,Greece
2034,0.007,Using latest official data,Greece
2018,0.002475796514036405,Using latest official data,Malta
2019,0.003036949927723406,Using latest official data,Malta
2020,0.004015294210532252,Using latest official data,Malta
2021,0.003175925982249853,Using latest official data,Malta
2022,0.0027527489425972673,Using latest official data,Malta
2023,0.002620427283666754,Using latest official data,Malta
2024,0.002717509100285789,Using latest official data,Malta
2025,0.0028145909169048243,Using latest official data,Malta
2026,0.0029116727335238594,Using latest official data,Malta
2027,0.0030087545501428946,Using latest official data,Malta
2028,0.0031058363667619297,Using latest official data,Malta
2029,0.003202918183380965,Using latest official data,Malta
2030,0.0033,Using latest official data,Malta
2031,0.0033,Using latest official data,Malta
2032,0.0033,Using latest official data,Malta
2033,0.0033,Using latest official data,Malta
2034,0.0033,Using latest official data,Malta
2018,0.002027472160084819,Using latest official data,Spain
2019,0.002088951923248748,Using latest official data,Spain
2020,0.0023261445552623804,Using latest official data,Spain
2021,0.0025697947584329777,Using latest official data,Spain
2022,0.0030271624663545165,Using latest official data,Spain
2023,0.0024393683708789555,Using latest official data,Spain
2024,0.003090887175039105,Using latest official data,Spain
2025,0.0037424059791992537,Using latest official data,Spain
2026,0.004393924783359403,Using latest official data,Spain
2027,0.005045443587519552,Using latest official data,Spain
2028,0.0056969623916797016,Using latest official data,Spain
2029,0.006348481195839851,Using latest official data,Spain
2030,0.007,Using latest official data,Spain
2031,0.007,Using latest official data,Spain
2032,0.007,Using latest official data,Spain
2033,0.007,Using latest official data,Spain
2034,0.007,Using latest official data,Spain
2018,0.0015604982233005501,Using latest official data,Slovenia
2019,0.0016537892016273254,Using latest official data,Slovenia
2020,0.0017432283944295852,Using latest official data,Slovenia
2021,0.0019088292924385947,Using latest official data,Slovenia
2022,0.0028679261448245758,Using latest official data,Slovenia
2023,0.002415906280689075,Using latest official data,Slovenia
2024,0.002542205383447779,Using latest official data,Slovenia
2025,0.002668504486206482,Using latest official data,Slovenia
2026,0.002794803588965186,Using latest official data,Slovenia
2027,0.002921102691723889,Using latest official data,Slovenia
2028,0.003047401794482593,Using latest official data,Slovenia
2029,0.0031737008972412967,Using latest official data,Slovenia
2030,0.0033,Using latest official data,Slovenia
2031,0.0033,Using latest official data,Slovenia
2032,0.0033,Using latest official data,Slovenia
2033,0.0033,Using latest official data,Slovenia
2034,0.0033,Using latest official data,Slovenia
2018,0.0013396624132229382,Using latest official data,Croatia
2019,0.0011920859784154026,Using latest official data,Croatia
2020,0.0013104011710040337,Using latest official data,Croatia
2021,0.0012681896791004738,Using latest official data,Croatia
2022,0.001948904083378465,Using latest official data,Croatia
2023,0.002027926007525143,Using latest official data,Croatia
2024,0.0022096508635929797,Using latest official data,Croatia
2025,0.0023913757196608165,Using latest official data,Croatia
2026,0.002573100575728653,Using latest official data,Croatia
2027,0.00275482543179649,Using latest official data,Croatia
2028,0.0029365502878643266,Using latest official data,Croatia
2029,0.0031182751439321633,Using latest official data,Croatia
2030,0.0033,Using latest official data,Croatia
2031,0.0033,Using latest official data,Croatia
2032,0.0033,Using latest official data,Croatia
2033,0.0033,Using latest official data,Croatia
2034,0.0033,Using latest official data,Croatia
2018,0.001318119135160867,Using latest official data,Czechia
2019,0.0013132609969468804,Using latest official data,Czechia
2020,0.001263425639625596,Using latest official data,Czechia
2021,0.00134909417488765,Using latest official data,Czechia
2022,0.003795230686818846,Using latest official data,Czechia
2023,0.0024234237276687717,Using latest official data,Czechia
2024,0.0025486489094303758,Using latest official data,Czechia
2025,0.00267387409119198,Using latest official data,Czechia
2026,0.002799099272953584,Using latest official data,Czechia
2027,0.002924324454715188,Using latest official data,Czechia
2028,0.0030495496364767918,Using latest official data,Czechia
2029,0.003174774818238396,Using latest official data,Czechia
2030,0.0033,Using latest official data,Czechia
2031,0.0033,Using latest official data,Czechia
2032,0.0033,Using latest official data,Czechia
2033,0.0033,Using latest official data,Czechia
2034,0.0033,Using latest official data,Czechia
2018,0.0013139772107852593,Using latest official data,Slovakia
2019,0.001114514244785913,Using latest official data,Slovakia
2020,0.001376974854508271,Using latest official data,Slovakia
2021,0.001370057001888593,Using latest official data,Slovakia
2022,0.0015387650989311006,Using latest official data,Slovakia
2023,0.0013505714974165505,Using latest official data,Slovakia
2024,0.0016290612834999004,Using latest official data,Slovakia
2025,0.0019075510695832504,Using latest official data,Slovakia
2026,0.0021860408556666003,Using latest official data,Slovakia
2027,0.0024645306417499504,Using latest official data,Slovakia
2028,0.0027430204278333,Using latest official data,Slovakia
2029,0.00302151021391665,Using latest official data,Slovakia
2030,0.0033,Using latest official data,Slovakia
2031,0.0033,Using latest official data,Slovakia
2032,0.0033,Using latest official data,Slovakia
2033,0.0033,Using latest official data,Slovakia
2034,0.0033,Using latest official data,Slovakia
2018,0.0011044468091967368,Using latest official data,Bulgaria
2019,0.0009538187758912421,Using latest official data,Bulgaria
2020,0.0012890225563909775,Using latest official data,Bulgaria
2021,0.0012079470198675497,Using latest official data,Bulgaria
2022,0.002702906976744186,Using latest official data,Bulgaria
2023,0.001865054945054945,Using latest official data,Bulgaria
2024,0.0020700470957613812,Using latest official data,Bulgaria
2025,0.002275039246467818,Using latest official data,Bulgaria
2026,0.002480031397174254,Using latest official data,Bulgaria
2027,0.002685023547880691,Using latest official data,Bulgaria
2028,0.002890015698587127,Using latest official data,Bulgaria
2029,0.0030950078492935637,Using latest official data,Bulgaria
2030,0.0033,Using latest official data,Bulgaria
2031,0.0033,Using latest official data,Bulgaria
2032,0.0033,Using latest official data,Bulgaria
2033,0.0033,Using latest official data,Bulgaria
2034,0.0033,Using latest official data,Bulgaria
2018,0.0020909619063197112,Using latest official data,Hungary
2019,0.0021258535840994928,Using latest official data,Hungary
2020,0.002708228788689782,Using latest official data,Hungary
2021,0.002806508084918512,Using latest official data,Hungary
2022,0.0025908125939115485,Using latest official data,Hungary
2023,0.001484841265570305,Using latest official data,Hungary
2024,0.0017441496562031187,Using latest official data,Hungary
2025,0.0020034580468359323,Using latest official data,Hungary
2026,0.0022627664374687455,Using latest official data,Hungary
2027,0.0025220748281015596,Using latest official data,Hungary
2028,0.0027813832187343727,Using latest official data,Hungary
2029,0.0030406916093671864,Using latest official data,Hungary
2030,0.0033,Using latest official data,Hungary
2031,0.0033,Using latest official data,Hungary
2032,0.0033,Using latest official data,Hungary
2033,0.0033,Using latest official data,Hungary
2034,0.0033,Using latest official data,Hungary
2018,0.0013598082578760518,Using latest official data,Poland
2019,0.0013865175982892715,Using latest official data,Poland
2020,0.0014363201216939438,Using latest official data,Poland
2021,0.0015185356740315282,Using latest official data,Poland
2022,0.005301971223897433,Using latest official data,Poland
2023,0.0033649655577683416,Using latest official data,Poland
2024,0.0033649655577683416,Using latest official data,Poland
2025,0.0033649655577683416,Using latest official data,Poland
2026,0.0033649655577683416,Using latest official data,Poland
2027,0.0033649655577683416,Using latest official data,Poland
2028,0.0033649655577683416,Using latest official data,Poland
2029,0.0033649655577683416,Using latest official data,Poland
2030,0.0033649655577683416,Using latest official data,Poland
2031,0.0033649655577683416,Using latest official data,Poland
2032,0.0033649655577683416,Using latest official data,Poland
2033,0.0033649655577683416,Using latest official data,Poland
2034,0.0033649655577683416,Using latest official data,Poland
2018,0.0010640608963393774,Using latest official data,Romania
2019,0.0010307919434778025,Using latest official data,Romania
2020,0.0012626249723421406,Using latest official data,Romania
2021,0.0014963594599263382,Using latest official data,Romania
2022,0.0014153530725205406,Using latest official data,Romania
2023,0.0016160796014483049,Using latest official data,Romania
2024,0.0018566396583842614,Using latest official data,Romania
2025,0.0020971997153202177,Using latest official data,Romania
2026,0.002337759772256174,Using latest official data,Romania
2027,0.0025783198291921307,Using latest official data,Romania
2028,0.0028188798861280874,Using latest official data,Romania
2029,0.0030594399430640433,Using latest official data,Romania
2030,0.0033,Using latest official data,Romania
2031,0.0033,Using latest official data,Romania
2032,0.0033,Using latest official data,Romania
2033,0.0033,Using latest official data,Romania
2034,0.0033,Using latest official data,Romania
2018,0.0016171832687200737,Using latest official data,Estonia
2019,0.0015764788958600607,Using latest official data,Estonia
2020,0.0016574543453154924,Using latest official data,Estonia
2021,0.0016482250452488814,Using latest official data,Estonia
2022,0.005388192261898377,Using latest official data,Estonia
2023,0.0027560862415125557,Using latest official data,Estonia
